,DFCAd,Participant,Frequence,TypeDistractor,Distance
459,-0.0963180149718,BD,F2,Td,90.0
460,0.551525357148,BD,F2,Td,90.0
461,2.01668845381,BD,F2,Td,90.0
462,1.35427430844,BD,F2,Td,90.0
463,-1.50875698293,KM,F2,Td,11.25
464,-0.05742942197,KM,F2,Td,11.25
465,-0.100632432294,KM,F2,Td,11.25
466,-0.74884726973,KM,F2,Td,11.25
467,-0.712449311072,KM,F2,Td,11.25
468,-0.437213589226,KM,F2,Td,11.25
469,-1.20386648779,KM,F2,Td,11.25
470,-0.0983585482544,KM,F2,Td,11.25
471,-1.37223756562,KM,F2,Td,11.25
472,-0.628281655198,KM,F2,Td,11.25
473,-1.06052807484,KM,F2,Td,11.25
474,-0.955872011032,KM,F2,Td,11.25
475,-0.996823954083,KM,F2,Td,11.25
476,-0.924020913897,KM,F2,Td,11.25
477,-0.35306022195,KM,F2,Td,11.25
478,0.0266978556937,KM,F2,Td,11.25
479,-0.380352659877,KM,F2,Td,11.25
480,-0.637380676916,KM,F2,Td,11.25
481,-1.27667504955,KM,F2,Td,11.25
482,-0.184769281051,KM,F2,Td,11.25
483,-0.519097133304,KM,F2,Td,11.25
484,-0.848944882029,KM,F2,Td,11.25
485,-0.949046744598,KM,F2,Td,11.25
486,0.574479882756,KM,F2,Td,11.25
487,-0.81809845068,KM,F2,Td,11.25
488,-0.463245525882,KM,F2,Td,11.25
489,-0.406385409708,KM,F2,Td,11.25
490,-0.156230142412,KM,F2,Td,11.25
491,-1.55525911144,KM,F2,Td,11.25
492,-0.70435577103,KM,F2,Td,11.25
493,-0.895447010546,KM,F2,Td,11.25
494,-1.45059410622,KM,F2,Td,11.25
495,-1.35958179882,KM,F2,Td,11.25
496,0.35527031655,KM,F2,Td,11.25
497,-0.433677980965,KM,F2,Td,11.25
498,-1.37550888105,KM,F2,Td,11.25
499,-1.27539644696,KM,F2,Td,11.25
500,-1.00919942271,KM,F2,Td,11.25
501,0.150702816159,KM,F2,Td,11.25
502,-0.793074506694,KM,F2,Td,11.25
503,-0.501911681486,KM,F2,Td,11.25
504,-0.604267968579,KM,F2,Td,11.25
505,-1.00237413955,KM,F2,Td,11.25
506,-0.67023429017,KM,F2,Td,11.25
507,-1.0933792141,KM,F2,Td,11.25
508,-0.884072056407,KM,F2,Td,11.25
509,-1.41191376193,KM,F2,Td,11.25
510,-0.975073176101,KM,F2,Td,11.25
511,-0.911372038346,KM,F2,Td,11.25
512,-1.3459300425,KM,F2,Td,11.25
513,-0.263108523914,KM,F2,Td,11.25
514,-0.724828963227,KM,F2,Td,11.25
515,-1.37095828261,KM,F2,Td,11.25
516,0.473442577561,KM,F2,Td,11.25
517,-1.05015146204,KM,F2,Td,11.25
518,-0.23095915117,KM,F2,Td,22.5
519,-1.36931558436,KM,F2,Td,22.5
520,-1.30110728292,KM,F2,Td,22.5
521,-0.880597647909,KM,F2,Td,22.5
522,-0.158312133083,KM,F2,Td,22.5
523,-2.84790897802,KM,F2,Td,22.5
524,-0.183283558101,KM,F2,Td,22.5
525,-0.23095915117,KM,F2,Td,22.5
526,-1.5489511946,KM,F2,Td,22.5
527,-1.40796890859,KM,F2,Td,22.5
528,-0.785159449515,KM,F2,Td,22.5
529,-0.780615063658,KM,F2,Td,22.5
530,0.207054049715,KM,F2,Td,22.5
531,-0.255933567694,KM,F2,Td,22.5
532,-2.33825365864,KM,F2,Td,22.5
533,-0.601133862085,KM,F2,Td,22.5
534,-2.8888649342,KM,F2,Td,22.5
535,-0.901050175506,KM,F2,Td,22.5
536,-0.526173931263,KM,F2,Td,22.5
537,-0.403529965672,KM,F2,Td,22.5
538,-1.66720720002,KM,F2,Td,22.5
539,-2.85701029746,KM,F2,Td,22.5
540,-0.419426984077,KM,F2,Td,22.5
